ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
2606010BJ9NUSB,Đã hủy,234012426297096,2026-06-01 18:27:27,--,2026-06-01 18:22:20,Qui Phúc Official Store,645415440,Shopee Mall(Non-CB),15250125583,"Tủ nhựa Louis QUI PHÚC, tủ treo quần áo, kích thước lớn, chắc chắn, tiện dụng, an toàn, tặng kèm móc",205025862480,Normal Product,465314068902170_0_0,Nhà cửa & Đời sống,Nội thất,Tủ quần áo,2318140,0,XTRA Comm,,0,1615353,4.00%,0,10.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ cùng một Shop,Đã tồn tại,7659432471928244535,5305787729876041949,12.16,from_direct,,Zalo
2606010BJ9NUSB,Đã hủy,234012426297096,2026-06-01 18:27:27,--,2026-06-01 18:22:20,Qui Phúc Official Store,645415440,Shopee Mall(Non-CB),27651646049,[HÀNG TẶNG KHÔNG BÁN] Combo 10 Móc Nhựa Đen Qui Phúc,79778594316,Normal Product,465314068902170_0_0,Nhà cửa & Đời sống,Sắp xếp nhà cửa,Mắc áo,0,0,Shopee Comm,,0,,4.00%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ cùng một Shop,Đã tồn tại,7659432471928244535,5305787729876041949,12.16,from_direct,,Zalo
2606010AMJTBES,Hoàn thành,234011428244073,2026-06-01 18:10:32,2026-06-03 12:43:18,2026-06-01 18:08:48,SIV Homedeco,430923787,Preferred(Non-CB),24677146591,80CM SIV Tủ Nhựa Đựng 3/4/5/6tầng-Trong suốt làm dày công suất lớn tủ bếp Đa Năng,185777841522,Normal Product,,Nhà cửa & Đời sống,Nội thất,Tủ bếp,398000,1,XTRA Comm,,298080,,4.00%,11923.2,8.00%,23846.4,35769.6,11923.2,23846.4,35769.6,,0,0.00%,0,100.00%,35769.6,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,7659432471928244535,5305787729876041949,12,from_direct,,Zalo
2606010ACYMGT9,Đang chờ xử lý,234011173245137,2026-06-01 18:06:17,,2026-06-01 17:57:05,DIPOLAR OFFICIAL STORE,957129787,Shopee Mall(Non-CB),22136537110,"Nạo Rau Củ Đa Năng DIPOLAR Lưỡi Dao Bằng Thép Không Gỉ Sắc Bén, Thiết Kế Nhỏ Gọn Tay Cầm Ngang Tiện Lợi - DNRC01",194573179705,Normal Product,,Nhà cửa & Đời sống,Dụng cụ nhà bếp,"Bàn nạo, dụng cụ bào, cắt",14998,1,XTRA Comm,,12801,,4.00%,512.04,3.00%,384.03,896.07,512.04,384.03,896.07,,0,0.00%,0,100.00%,896.07,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,6958572410580916717,7831712249927134163,11,from_direct,,Zalo
26060108W9R1EF,Đang chờ xử lý,234009573230843,2026-06-01 17:39:33,,2026-06-01 17:39:03,Vegsivir Brand,14859451,C2C(Non-CB),56904652033,Áo POLO Cotton Nam Nữ FORM BOXY Thoáng Mát Trẻ Trung Năng Động VEGSIVIR - LEGACY Polo Boxy,410432337568,Normal Product,,Thời Trang Nam,Áo,Áo polo,155000,1,XTRA Comm,,140000,,7.00%,9800,4.00%,5600,15400,9800,5600,15400,,0,0.00%,0,100.00%,15400,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,6958572410580916717,7831712249927134163,11,from_direct,,Zalo
26060107FD361C,Hoàn thành,234008033243401,2026-06-01 17:13:57,2026-06-03 05:19:45,2026-06-01 17:13:38,Unilever - Chăm sóc Gia đình,26947756,Shopee Mall(Non-CB),26587942142,"Nước lau kính Sunlight Siêu nhanh | Phiên bản nâng cấp từ Cif | Sạch trong suốt, không tỳ vết | Chai 520ml",275487648247,Normal Product,,Nhà cửa & Đời sống,Dụng cụ chăm sóc nhà cửa,Chất tẩy rửa,30000,1,XTRA Comm,,30000,,4.00%,1200,2.00%,600,1800,1200,600,1800,,0,0.00%,0,100.00%,1800,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,6958572410580916717,7831712249927134163,6,from_direct,,Zalo
260601034NSESD,Đang chờ xử lý,234003379298567,2026-06-01 15:56:40,,2026-06-01 15:55:18,Kềm Nghĩa Official Store,112790091,Shopee Mall(Non-CB),2266218647,Kềm Cắt Móng 2 Chống Thép Không Gỉ Kềm Nghĩa M.03,72121322550,Normal Product,,Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc móng,230000,1,XTRA Comm,,193200,,4.00%,7728,3.00%,5796,13524,7728,5796,13524,,0,0.00%,0,100.00%,13524,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,2656030769236889760,4215653580799939581,7,from_direct,,Zalo
260601VJM6U7K0,Hoàn thành,233982079295393,2026-06-01 10:01:40,2026-06-03 05:19:50,2026-06-01 09:17:33,Thủy Mi Store,133979957,C2C(Non-CB),54304271807,Mi Giả Gân Đen Hàn Quốc Tự Nâng Mí Nhiên Độ Dài 6-10mm Mã Số 145 GREEN Thủy Mi,425714239800,Normal Product,,Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,39900,1,XTRA Comm,,31521,,4.00%,1260.84,8.00%,2521.68,3782.52,2521.68,5043.36,7565.04,,0,0.00%,0,100.00%,7565.04,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,6958572410580916717,7831712249927134163,12,from_direct,,Zalo
260601VJM6U7K0,Hoàn thành,233982079295393,2026-06-01 10:01:40,2026-06-03 05:19:50,2026-06-01 09:17:33,Thủy Mi Store,133979957,C2C(Non-CB),54304271807,Mi Giả Gân Đen Hàn Quốc Tự Nâng Mí Nhiên Độ Dài 6-10mm Mã Số 145 GREEN Thủy Mi,425714239808,Normal Product,,Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,39900,1,XTRA Comm,,31521,,4.00%,1260.84,8.00%,2521.68,3782.52,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,6958572410580916717,7831712249927134163,12,from_direct,,Zalo
260601VBWWVRUJ,Đang chờ xử lý,233974888264315,2026-06-01 08:01:28,,2026-06-01 07:48:58,MAIKHANHVINA2,1469685165,C2C(Non-CB),44267625240,Combo 2 Túi Nước Xả Vải Hygiene Expert Care Đen Trắng 1100ml Lưu Hương Thơm Bền Lâu Mềm Vải,243861244097,Normal Product,,Nhà cửa & Đời sống,Dụng cụ chăm sóc nhà cửa,Phụ kiện giặt là,1000,1,XTRA Comm,,1000,,4.00%,40,10.00%,100,140,40,100,140,,0,0.00%,0,100.00%,140,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Mới,4070833229470854658,6.1,from_direct,,,Zalo
260531TRVHUBXX,Đang chờ xử lý,233920081240559,2026-05-31 16:48:05,,2026-05-31 16:47:43,HINO - Chuyên Hàng Thái,12811014,C2C(Non-CB),27476411926,"Sữa Dưỡng Thể Trắng Da Mistine White Spa Thái Lan, Dưỡng Trắng, Nuoi Dưỡng Làn Da - HINO",280849654385,Normal Product,,Sắc Đẹp,Tắm & chăm sóc cơ thể,Kem & sữa dưỡng thể,159000,1,XTRA Comm,,139920,,4.00%,5596.8,7.00%,9794.4,15391.2,5596.8,9794.4,15391.2,,0,0.00%,0,100.00%,15391.2,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,7831712249927134163,5305787729876041949,11,from_direct,,Zalo
260531TRK1MYS1,Hoàn thành,233919762271646,2026-05-31 16:42:49,2026-06-02 10:37:36,2026-05-31 16:42:21,Unilever Chăm Sóc Sắc Đẹp,1397276155,Shopee Mall(Non-CB),29068475330,Dầu gội Sunsilk Natural Dưỡng Ngăn Gãy Rụng và Mềm Mượt Tỏa Hương 650g,247091492047,Normal Product,,Sắc Đẹp,Chăm sóc tóc,Dầu gội,143000,1,XTRA Comm,,125840,,4.00%,5033.6,2.00%,2516.8,7550.4,5033.6,2516.8,7550.4,,0,0.00%,0,100.00%,7550.4,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,7831712249927134163,5305787729876041949,6,from_direct,,Zalo
260531T68H9U7S,Đã hủy,233900082235291,2026-05-31 11:14:42,--,2026-05-31 11:14:20,Wisezen Vietnam,1452683839,Shopee Mall(Non-CB),24142591462,Máy Sấy Tóc Ion âm Wisezen Tạo Kiểu 2 Chiều Nóng Lạnh Có 3 Chế độ Sấy Tặng Kèm đầu Sấy Thích Hợp Làm Quà Tặng,252996189153,Normal Product,,Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ chăm sóc tóc,352220,0,XTRA Comm,,0,288820,4.00%,0,10.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ cùng một Shop,Đã tồn tại,5305787729876041949,14,from_direct,,,Zalo
260531RWESYV24,Đã hủy,233856269258455,2026-05-30 23:04:30,--,2026-05-30 23:04:16,Obaxua Việt Nam,122194950,Preferred(Non-CB),3633735387,Bột Trà Xanh Nguyên Chất OBAXUA – Túi 75g/250g/500g,297020505537,Normal Product,,Sắc Đẹp,Chăm sóc da mặt,Mặt nạ,26460,1,XTRA Comm,,21697,,4.00%,0,5.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ cùng một Shop,Đã tồn tại,5305787729876041949,9,from_direct,,,Zalo
260530QWT61EQ2,Hoàn thành,233822291243627,2026-05-30 13:38:15,2026-06-02 10:37:48,2026-05-30 13:37:44,Unilever - Chăm Sóc Cá Nhân,111138057,Shopee Mall(Non-CB),29311877071,"Xịt thơm nước hoa cao cấp AXE 135ml, Fine Fragrance mist lưu hương tinh tế và khử mùi lên tới 72h",350252953021,Normal Product,,Sắc Đẹp,Chăm sóc nam giới,Khác,132000,1,XTRA Comm,,118400,,4.00%,4736,8.00%,9472,14208,4736,9472,14208,,0,0.00%,0,100.00%,14208,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,7831712249927134163,5305787729876041949,14,from_direct,,Zalo
260529N2MQ2F66,Đã hủy,233724397271040,2026-05-29 10:26:44,--,2026-05-29 10:25:35,Bách Hóa Online 24,259126192,Shopee Mall(Non-CB),18604067065,Ổ cắm Điện Quang ECO ĐQ ESK 32ECO - 3 lỗ 2 chấu - dây dài 2m/5m - công suất 2500W,210228442213,Normal Product,,Thiết Bị Điện Gia Dụng,Mạch điện & Phụ tùng,Ổ cắm điện & Dây nối,117000,1,XTRA Comm,,105300,,4.00%,0,3.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ cùng một Shop,Đã tồn tại,6925778586172347745,5305787729876041949,7,from_direct,,Zalo
