ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
260505KY7T30K1,Đang chờ xử lý,231686383266472,2026-05-05 20:19:43,,2026-05-05 20:11:34,Dear Klairs Global ,1653671112,Shopee Mall(CB),48406401764,"[Klairs global] Nước Xanh Giảm mụn Tái sinh EGF 10ml Dear, Klairs Blue Youth Activating Drop 10ml",420576159873,Normal Product,,Sắc Đẹp,Chăm sóc da mặt,Tinh chất dưỡng,262500,1,XTRA Comm,,159477,,4.00%,6379.08,2.50%,3986.925,10366.005,6379.08,3986.925,10366.005,,0,0.00%,0,100.00%,10366.005,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,sub1,sub2,sub3,,,Zalo
260505KY7T30K0,Đang chờ xử lý,231686383266471,2026-05-05 20:19:43,,2026-05-05 20:11:34,Dermarium Official,327184394,Shopee Mall(Non-CB),9413298504,Tẩy da chết Dermarium Tricky Duet - 2% Salicylic Acid (BHA) giảm mụn dưỡng da mịn màng 55ml & 150ml,231546288439,Normal Product,455338147525253_0_0,Sắc Đẹp,Chăm sóc da mặt,Tẩy tế bào chết,230000,1,XTRA Comm,,139734,,4.00%,5589.36,2.00%,2794.68,8384.04,5589.36,2794.68,8384.04,,0,0.00%,0,100.00%,8384.04,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,sub1,sub2,sub3,,,Zalo
260505KY7T30K0,Đang chờ xử lý,231686383266471,2026-05-05 20:19:43,,2026-05-05 20:11:34,Dermarium Official,327184394,Shopee Mall(Non-CB),46157772816,Vòi xịt phun sương hạ nhiệt mùa hè,425689678688,Normal Product,455338147525253_0_0,Sắc Đẹp,Khác,,0,1,Shopee Comm,,0,,4.00%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,sub1,sub2,sub3,,,Zalo
260505KY7T30JX,Đang chờ xử lý,231686383266469,2026-05-05 20:19:43,,2026-05-05 20:11:34,UKmart - Mỹ phẩm chính hãng,17469044,Preferred(Non-CB),7140524695,Hộp 8 Miếng Mặt Nạ Kiểm Soát Dầu Và Mụn Trà Tràm Naruko Tea Tree 26ml/m (Bản Đài),21147012124,Normal Product,,Sắc Đẹp,Chăm sóc da mặt,Mặt nạ,273000,1,XTRA Comm,,150668,,4.00%,6026.72,2.00%,3013.36,9040.08,6026.72,3013.36,9040.08,,0,0.00%,0,100.00%,9040.08,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,sub1,sub2,sub3,,,Zalo
260505KY7T30JW,Đang chờ xử lý,231686383266468,2026-05-05 20:19:43,,2026-05-05 20:11:13,Baseus Official Mall,131195741,Shopee Mall(CB),6938221363,Tai Nghe Bluetooth 5.3 Baseus WM01 TWS Chống Ồn,40002149365,Normal Product,,Thiết Bị Âm Thanh,Tai nghe nhét tai & chụp tai,,322150,1,XTRA Comm,,172230,,4.00%,6889.2,5.00%,8611.5,15500.7,6889.2,8611.5,15500.7,,0,0.00%,0,100.00%,15500.7,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,sub1,sub2,sub3,,,Zalo
26042948FM1NHS,Hoàn thành,231146553235146,2026-04-29 14:22:33,2026-05-04 16:12:08,2026-04-29 14:21:48,Xiaomi Official Store Vietnam,1150105706,Shopee Mall(Non-CB),41903287402,"Xiaomi Vòng đeo tay thông minh Band 10 | AMOLED 1,72"" | Pin 21 ngày - BH 1 năm chính hãng",275271986284,Normal Product,,Điện Thoại & Phụ Kiện,Thiết bị đeo thông minh,Đồng hồ thông minh & Vòng đeo tay sức khỏe,1170000,1,XTRA Comm,,994500,,4.00%,39780,2.00%,19890,59670,39780,19890,59670,,0,0.00%,0,100.00%,59670,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
260423HTH1VGT0,Hoàn thành,230612605241898,2026-04-23 10:03:29,2026-04-29 15:59:57,2026-04-21 10:20:21,Danbikini Official Store,1273071483,Shopee Mall(Non-CB),26102833932,Tất Nữ Cổ cao Đẹp Dệt Kim Trắng Tinh Phong Cách Vintage Hàn Quốc DANBIKINI Mã T16,256018704695,Normal Product,,Thời Trang Nữ,Vớ/ Tất,Tất,9886,2,XTRA Comm,,0,,4.00%,0,5.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,realbuy,nguyenthaian,,,,Zalo
260421D0JHSQ0F,Hoàn thành,230447299247368,2026-04-21 12:08:23,2026-04-26 12:53:41,2026-04-21 10:30:48,GA1993 -Lót chuột,327944585,Preferred(Non-CB),26709749832,Giá đỡ Laptop Xoay 360 độ L08 bản full size - Tuỳ chỉnh độ cao - Dành cho Laptop - Macbook - Ipad,234597234534,Normal Product,7232145561482556170_0_0,Máy tính & Laptop,Phụ Kiện Máy Tính,Bàn Laptop,196000,1,XTRA Comm,,155756,,4.00%,6230.24,12.00%,18690.72,24920.96,7470,20860.3,28330.3,,0,0.00%,0,100.00%,28330.3,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,realbuy,nguyenthaian,,,,Zalo
260421D0JHSQ0F,Hoàn thành,230447299247368,2026-04-21 12:08:23,2026-04-26 12:53:41,2026-04-21 10:30:48,GA1993 -Lót chuột,327944585,Preferred(Non-CB),42570513723,Miếng Lót Bảo Vệ Bàn Phím MacBook NPK Chất Liệu Microfibe Kích Thước 290x193mm Chống Bám Bụi,248933123189,Normal Product,7232145561482556170_0_0,Máy tính & Laptop,Phụ Kiện Máy Tính,Miếng Dán Bàn Phím,39000,1,XTRA Comm,,30994,,4.00%,1239.76,7.00%,2169.58,3409.34,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,realbuy,nguyenthaian,,,,Zalo
